Submissionid,Reason
74145016,Trademark Violation
74118459,Roster Issue
74118459,Trademark Violation
72419137,Constitution Missing
72419137,Trademark Violation
72631792,Roster Issue
72631792,Trademark Violation
71877009,Roster Issue
71877009,Trademark Violation
74209450,Roster Issue
74209450,Trademark Violation
74057856,Roster Issue
74057856,Trademark Violation
72907578,Constitution Missing
72907578,Trademark Violation
71914517,Roster Issue
71914517,Trademark Violation
